"Subnational electricity consumption, Great Britain, 2016",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
E08000008,North West,Tameside,96.0,5.6,101.6,6.4,108.0,315.2,28.7,343.9,420.1,764.0,"3,283.0","5,168.7","3,386.3","65,708.1","7,076.8","2,858.1","4,052.2","2,893.0","9,265.3","2,952.3","3,556.3"
E08000009,North West,Trafford,90.1,8.3,98.3,8.2,106.5,334.7,45.5,380.2,986.5,"1,366.7","3,715.5","5,506.8","3,865.9","120,479.8","12,828.4","3,122.1","4,584.8","3,192.5","10,390.0","3,288.0","3,944.5"
E08000010,North West,Wigan,134.6,8.1,142.7,8.5,151.2,449.1,40.7,489.8,626.1,"1,115.9","3,336.2","5,026.6","3,432.1","73,818.6","7,380.1","2,928.5","3,839.8","2,959.6","9,415.7","3,017.6","3,483.4"
E08000011,North West,Knowsley,64.2,1.6,65.8,3.0,68.9,214.5,8.0,222.5,509.0,731.5,"3,338.6","4,963.3","3,378.3","169,497.2","10,623.7","2,982.5","3,744.2","2,992.1","10,688.0","3,035.5","3,572.8"
E08000012,North West,Liverpool,205.1,11.8,216.9,15.0,231.9,644.2,66.3,710.5,"1,212.3","1,922.8","3,140.8","5,623.4","3,275.6","80,930.3","8,291.9","2,692.3","4,728.6","2,748.0","8,710.3","2,814.5","3,285.3"
E08000013,North West,St. Helens,79.0,2.4,81.5,4.7,86.1,259.1,12.1,271.2,463.8,734.9,"3,278.1","4,961.4","3,328.3","99,435.0","8,532.3","2,882.0","3,913.4","2,898.1","9,444.8","2,948.4","3,479.5"
E08000014,North West,Sefton,120.4,6.3,126.7,8.0,134.7,409.2,32.3,441.5,435.2,876.6,"3,397.9","5,162.7","3,485.0","54,326.3","6,508.5","2,940.4","4,312.4","2,976.9","8,005.0","3,035.1","3,695.2"
E08000015,North West,Wirral,141.7,6.9,148.6,9.1,157.6,479.8,35.1,514.9,548.0,"1,062.8","3,387.3","5,055.8","3,465.2","60,527.0","6,742.0","2,943.3","4,078.4","2,971.6","8,167.8","3,029.4","3,621.2"
E06000010,Yorkshire and The Humber,"Kingston upon Hull, City of",111.2,9.0,120.1,8.4,128.5,339.6,39.2,378.8,716.3,"1,095.1","3,054.6","4,371.4","3,152.8","85,600.5","8,521.3","2,636.6","3,284.0","2,662.6","10,992.6","2,742.0","3,344.9"
E06000011,Yorkshire and The Humber,East Riding of Yorkshire,141.3,12.9,154.1,13.5,167.6,506.5,75.6,582.1,988.7,"1,570.8","3,585.8","5,884.0","3,777.4","73,198.7","9,371.6","2,964.5","4,464.3","3,031.5","7,798.1","3,112.0","3,997.6"
E06000012,Yorkshire and The Humber,North East Lincolnshire,68.7,3.8,72.6,5.0,77.5,228.4,19.5,247.9,567.9,815.7,"3,322.6","5,059.3","3,414.6","114,604.6","10,519.5","2,855.7","3,738.6","2,884.9","8,593.0","2,943.2","3,528.2"
E06000013,Yorkshire and The Humber,North Lincolnshire,70.8,3.6,74.4,6.1,80.5,241.9,20.6,262.5,921.1,"1,183.7","3,418.4","5,698.4","3,529.1","150,439.7","14,702.3","2,898.3","4,411.8","2,933.7","8,094.2","3,002.3","3,631.7"
E06000014,Yorkshire and The Humber,York,79.9,9.6,89.5,7.4,96.9,270.8,46.9,317.7,424.8,742.5,"3,387.9","4,893.7","3,549.2","57,275.6","7,660.4","2,838.3","3,784.1","2,896.3","9,748.3","2,986.0","3,691.5"
E07000163,Yorkshire and The Humber,Craven,23.7,3.2,26.9,3.7,30.6,87.8,24.0,111.8,144.5,256.3,"3,700.0","7,553.7","4,155.1","38,969.9","8,374.3","2,912.1","5,727.6","3,036.8","8,368.5","3,203.6","4,390.8"
E07000164,Yorkshire and The Humber,Hambleton,35.2,5.5,40.6,5.5,46.1,140.4,34.5,174.9,275.6,450.5,"3,991.6","6,325.8","4,305.1","50,495.9","9,774.5","3,189.9","5,015.5","3,323.6","8,110.0","3,457.9","4,408.1"
E07000165,Yorkshire and The Humber,Harrogate,63.8,7.2,71.0,8.2,79.2,255.5,46.4,301.8,486.4,788.2,"4,006.5","6,414.6","4,251.6","59,296.5","9,953.1","3,136.7","4,815.1","3,232.9","7,875.8","3,344.2","4,393.7"
E07000166,Yorkshire and The Humber,Richmondshire,19.5,3.7,23.2,3.1,26.2,76.3,25.1,101.4,124.3,225.7,"3,911.8","6,810.3","4,372.4","40,645.1","8,600.7","3,170.5","5,211.7","3,310.9","6,999.9","3,418.5","4,606.9"
