"Subnational gas consumption, Great Britain, 2019",,,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters","Number of 
non-consuming meters 
(thousands)"
E08000017,Yorkshire and The Humber,Doncaster,,131.2,1.1,132.3,"1,745.1","1,231.0","2,976.2","13,302.2","1,082,715.7","22,491.0","12,289.2","152,874.0","12,353.9",1.2
E08000018,Yorkshire and The Humber,Rotherham,,113.5,1.0,114.6,"1,514.7","1,190.7","2,705.4","13,341.2","1,171,953.4","23,617.1","12,313.7","158,723.9","12,377.9",0.9
E08000019,Yorkshire and The Humber,Sheffield,[note 1],222.0,2.6,224.6,"3,119.2","1,794.5","4,913.7","14,051.0","690,476.7","21,878.8","12,650.0","152,533.5","12,752.0",2.5
E08000032,Yorkshire and The Humber,Bradford,,199.9,2.5,202.4,"3,111.5","1,737.7","4,849.2","15,565.9","689,007.1","23,956.7","13,954.7","149,205.5","14,080.7",2.6
E08000033,Yorkshire and The Humber,Calderdale,,87.8,1.2,89.0,"1,311.6",538.0,"1,849.7","14,939.5","462,627.9","20,792.3","13,192.9","128,318.6","13,315.9",1.2
E08000034,Yorkshire and The Humber,Kirklees,,175.9,2.0,177.9,"2,632.2","1,480.5","4,112.7","14,966.0","745,857.0","23,123.0","13,369.1","144,459.2","13,474.4",2.1
E08000035,Yorkshire and The Humber,Leeds,,312.6,3.7,316.3,"4,396.2","2,256.0","6,652.2","14,063.4","603,857.2","21,029.0","12,439.0","149,390.9","12,534.4",3.1
E08000036,Yorkshire and The Humber,Wakefield,,149.3,1.4,150.7,"1,956.4","2,171.7","4,128.1","13,099.4","1,577,132.4","27,388.2","11,953.7","148,014.7","12,023.6",1.1
E06000015,East Midlands,Derby,,104.5,1.0,105.5,"1,362.0",637.7,"1,999.7","13,030.4","632,596.2","18,948.0","11,875.5","155,155.0","11,956.9",1.1
E06000016,East Midlands,Leicester,,119.0,1.7,120.7,"1,685.3","1,340.0","3,025.3","14,164.2","799,533.0","25,073.2","12,700.0","155,962.1","12,818.6",1.7
E06000017,East Midlands,Rutland,,14.0,0.2,14.3,214.8,73.4,288.2,"15,301.5","344,814.8","20,226.9","13,342.2","148,671.3","13,503.4",0.1
E06000018,East Midlands,Nottingham,,116.6,1.6,118.2,"1,497.9",923.9,"2,421.8","12,847.4","566,830.5","20,485.8","11,311.8","156,402.6","11,426.5",1.9
E06000061,East Midlands,North Northamptonshire,,139.4,1.3,140.8,"1,804.4","1,237.2","3,041.6","12,942.0","919,138.9","21,606.8","11,763.7","154,097.4","11,834.3",1.1
E06000062,East Midlands,West Northamptonshire,,149.4,1.6,151.0,"1,966.3",833.9,"2,800.2","13,160.8","533,554.9","18,548.6","11,799.0","154,523.6","11,878.4",1.5
E07000032,East Midlands,Amber Valley,,54.4,0.5,54.9,767.9,480.6,"1,248.5","14,128.9","906,763.6","22,749.5","12,888.2","140,682.1","12,967.6",0.5
E07000033,East Midlands,Bolsover,,34.6,0.3,34.9,466.1,202.1,668.3,"13,479.6","714,262.7","19,168.1","12,530.4","182,115.2","12,596.6",0.3
E07000034,East Midlands,Chesterfield,,47.6,0.5,48.1,614.4,354.4,968.9,"12,906.7","727,762.3","20,145.4","11,861.8","156,627.0","11,940.2",0.4
E07000035,East Midlands,Derbyshire Dales,,26.8,0.4,27.2,421.0,341.1,762.1,"15,702.1","800,820.5","27,982.6","13,631.4","126,092.5","13,785.3",0.3
E07000036,East Midlands,Erewash,,49.7,0.4,50.2,661.0,230.4,891.4,"13,293.5","513,138.9","17,766.4","12,134.3","149,159.4","12,202.9",0.5
